id,date,user,pc,to,cc,bcc,from,size,attachments,content
R3I7-S4TX96FG-8219JWFF,"01/02/2010 07:11:45",LAP0338,PC-5758,"Dean.Flynn.Hines@dtaa.com;Wade_Harrison@lockhe...","Nathaniel.Hunter.Heath@dtaa.com",NaN,Lynn.Adena.Pratt@dtaa.com,25830,0,"middle f2 systems 4 july techniques powerful d..."
R0R9-E4GL59IK-2907OSWJ,"01/02/2010 07:12:16",MOH0273,PC-6699,Odonnell-Gage@bellsouth.net,NaN,NaN,MOH68@optonline.net,29942,0,"the breaking called allied reservations former..."
G2B2-A8XY58CP-2847ZJZL,"01/02/2010 07:13:00",LAP0338,PC-5758,Penelope_Colon@netzero.com,NaN,NaN,Lynn_A_Pratt@earthlink.net,28780,0,"slowly this uncinus winter beneath addition ex..."
A3A9-F4TH89AA-8318GFGK,"01/02/2010 07:13:17",LAP0338,PC-5758,Judith_Hayden@comcast.net,NaN,NaN,Lynn_A_Pratt@earthlink.net,21907,0,"400 other difficult land cirrocumulus powered ..."
E8B7-C8FZ88UF-2946RUQQ,"01/02/2010 07:13:28",MOH0273,PC-6699,"Bond-Raymond@verizon.net;Alea_Ferrell@msn.com...",NaN,Odonnell-Gage@bellsouth.net,MOH68@optonline.net,17319,0,"this kmh october holliswood number advised unu..."
L5M6-Y8OC81GP-4903IYLL,"01/03/2010 10:01:26",KAS2029,PC-6729,"Hiroko.Ainsley.Cash@dtaa.com;Ciaran.Tucker.Wyatt@dtaa.com",,,Keaton.Andrew.Stout@dtaa.com,1916738,0,"Iran was listed as ""the worst offender"" in a 2004 rep..."
V5K6--0756IENH,"01/03/2010 10:01:57",BOR2387,PC-2983,"Dana_Wilkins@msn.com;Fuentes-Elijah@comcast.net",,,BOR14@verizon.net,37102,0,"The score closes, at Whale's suggestion, with a powerful dissonant chord, intended to convey the idea that th..."
O2S4-H1ZA16ZD-5384XFKE,"01/03/2010 10:02:12",MTS0465,PC-6836,Micah.Tucker.Sanchez@dtaa.com,,,Cullen.Walter.Klein@dtaa.com,29226,0,"Remote sensing techniques for wind include SODAR, Doppler LIDARs and RADARs, which can measure the Doppler..."
C1H1-I2XR46AC-6039MCCG,"01/03/2010 10:02:38",ISJ1479,PC-0043,"Irma_Robles@sbcglobal.net;Ivana_Howe@sbcglobal.net","Cynthia_Roth@cox.net","Imelda_Jimenez@optonline.net","Imelda_Jimenez@optonline.net",8663,0,"As a result, its shares more than doubled at..."
N1I7-V5GE51ZC-9669ENQY,"01/03/2010 10:03:01",SER0621,PC-5436,Shana.Ella.Ramos@dtaa.com,,,September_Nunez@northropgrumman.com,22900,0,"The roof of the South, East and West Stands built"
